timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
09:31:51,1,12518,72.0,421.163,1,421.163,7.6,real_measurement
09:31:56,1,12662,68.0,412.881,1,412.881,12.7,real_measurement
09:32:01,1,12807,69.0,418.538,1,418.538,11.1,real_measurement
09:32:06,1,12952,67.0,412.094,1,412.094,11.4,real_measurement
09:32:11,1,13096,73.0,418.226,1,418.226,14.6,real_measurement
09:32:16,1,13242,71.0,416.26,1,416.26,7.6,real_measurement
09:32:21,1,13386,74.0,417.194,1,417.194,14.9,real_measurement
09:32:26,1,13530,71.0,419.392,1,419.392,11.7,real_measurement
09:32:31,1,13677,74.0,432.975,1,432.975,12.8,real_measurement
09:32:36,1,13829,79.0,433.625,1,433.625,11.6,real_measurement
09:32:41,1,13980,74.0,433.323,1,433.323,11.5,real_measurement
09:32:46,1,14127,67.0,415.297,1,415.297,10.8,real_measurement
09:32:51,1,14280,80.0,446.248,1,446.248,13.6,real_measurement
09:32:56,1,14423,73.0,415.314,1,415.314,7.3,real_measurement
09:33:01,1,14568,73.0,424.002,1,424.002,11.7,real_measurement
09:33:06,1,14712,74.0,415.613,1,415.613,16.3,real_measurement
09:33:11,1,14857,74.0,416.877,1,416.877,11.1,real_measurement
09:33:16,1,15001,71.0,415.55,1,415.55,14.1,real_measurement
09:33:21,1,15151,75.0,439.989,1,439.989,11.8,real_measurement
09:33:26,1,15301,71.0,424.264,1,424.264,10.8,real_measurement
09:33:31,1,15457,78.0,444.158,1,444.158,13.2,real_measurement
09:33:36,1,15606,75.0,421.001,1,421.001,9.9,real_measurement
09:33:41,1,15758,74.0,436.322,1,436.322,17.3,real_measurement
09:33:46,1,15908,74.0,446.693,1,446.693,11.9,real_measurement
09:33:51,1,16066,81.0,449.557,1,449.557,9.7,real_measurement
09:33:57,1,16137,0.0,129.156,1,129.156,11.3,real_measurement
09:34:05,1,16147,0.0,122.568,1,122.568,6.0,real_measurement
09:34:14,1,16160,0.0,122.437,1,122.437,8.7,real_measurement
09:34:19,1,16296,63.0,398.871,1,398.871,14.8,real_measurement
09:34:24,1,16431,73.0,399.182,1,399.182,19.9,real_measurement
09:34:29,1,16573,73.0,419.36,1,419.36,13.4,real_measurement
09:34:34,1,16717,73.0,419.112,1,419.112,10.7,real_measurement
09:34:39,1,16863,74.0,419.734,1,419.734,10.3,real_measurement
09:34:44,1,17007,73.0,422.905,1,422.905,10.5,real_measurement
09:34:49,1,17152,71.0,416.423,1,416.423,8.9,real_measurement
09:34:54,1,17296,71.0,415.23,1,415.23,15.9,real_measurement
09:34:59,1,17447,78.0,450.952,1,450.952,6.8,real_measurement
09:35:04,1,17590,71.0,408.459,1,408.459,14.7,real_measurement
09:35:09,1,17735,69.0,421.148,1,421.148,13.4,real_measurement
09:35:14,1,17879,71.0,411.752,1,411.752,10.0,real_measurement
09:35:19,1,18024,73.0,422.0,1,422.0,7.4,real_measurement
09:35:24,1,18168,71.0,416.831,1,416.831,15.1,real_measurement
09:35:29,1,18313,74.0,420.869,1,420.869,9.3,real_measurement
09:35:34,1,18458,74.0,430.978,1,430.978,17.7,real_measurement
09:35:39,1,18603,72.0,423.139,1,423.139,8.4,real_measurement
09:35:44,1,18747,74.0,417.178,1,417.178,15.2,real_measurement
09:35:49,1,18892,72.0,414.617,1,414.617,10.6,real_measurement
09:35:54,1,19036,70.0,418.084,1,418.084,12.3,real_measurement
09:35:59,1,19180,71.0,418.122,1,418.122,11.1,real_measurement
09:36:04,1,19325,76.0,426.661,1,426.661,10.3,real_measurement
09:36:09,1,19480,66.0,423.617,1,423.617,4.6,real_measurement
09:36:14,1,19629,76.0,445.502,1,445.502,19.9,real_measurement
09:36:19,1,19787,79.0,445.482,1,445.482,3.9,real_measurement
09:36:24,1,19945,79.0,449.616,1,449.616,10.1,real_measurement
09:36:39,2,0,33.0,280.383,1,280.383,16.1,real_measurement
09:36:44,2,144,74.0,419.486,1,419.486,15.0,real_measurement
09:36:49,2,205,1.0,177.72,1,177.72,9.8,real_measurement
09:36:56,2,323,0.0,122.708,1,122.708,12.8,real_measurement
09:37:01,2,324,0.0,123.958,1,123.958,6.9,real_measurement
09:37:06,2,401,67.0,409.632,1,409.632,15.3,real_measurement
09:37:11,2,546,75.0,414.844,1,414.844,13.0,real_measurement
09:37:16,2,627,67.0,215.285,1,215.285,8.9,real_measurement
09:37:21,2,770,74.0,418.854,1,418.854,15.1,real_measurement
09:37:26,2,915,71.0,419.168,1,419.168,9.4,real_measurement
09:37:31,2,1060,72.0,420.123,1,420.123,6.4,real_measurement
09:37:42,2,1180,0.0,126.345,1,126.345,10.1,real_measurement
09:37:47,2,1323,70.0,420.024,1,420.024,17.1,real_measurement
09:37:52,2,1467,73.0,413.496,1,413.496,11.9,real_measurement
09:37:57,2,1611,69.0,413.025,1,413.025,13.0,real_measurement
09:38:02,2,1756,76.0,423.94,1,423.94,12.8,real_measurement
09:38:07,2,1900,71.0,415.47,1,415.47,12.1,real_measurement
09:38:18,2,2040,0.0,127.917,1,127.917,9.8,real_measurement
09:38:23,2,2183,69.0,413.809,1,413.809,9.6,real_measurement
09:38:28,2,2327,72.0,415.575,1,415.575,17.4,real_measurement
09:38:33,2,2471,74.0,418.265,1,418.265,10.4,real_measurement
09:38:38,2,2616,73.0,417.857,1,417.857,8.4,real_measurement
09:38:43,2,2760,71.0,412.683,1,412.683,14.4,real_measurement
09:38:48,2,2904,73.0,414.465,1,414.465,12.8,real_measurement
09:38:53,2,3048,73.0,415.254,1,415.254,12.1,real_measurement
09:39:03,2,3189,0.0,122.614,1,122.614,8.3,real_measurement
09:39:08,2,3327,72.0,421.021,1,421.021,17.8,real_measurement
09:39:13,2,3471,74.0,417.358,1,417.358,12.7,real_measurement
09:39:18,2,3614,74.0,413.98,1,413.98,13.5,real_measurement
09:39:23,2,3758,68.0,415.989,1,415.989,12.3,real_measurement
09:39:28,2,3902,71.0,421.061,1,421.061,11.3,real_measurement
09:39:33,2,4045,74.0,414.235,1,414.235,15.7,real_measurement
09:39:38,2,4190,70.0,419.93,1,419.93,10.2,real_measurement
09:39:43,2,4342,78.0,447.736,1,447.736,4.1,real_measurement
09:39:48,2,4391,0.0,123.015,1,123.015,7.5,real_measurement
09:39:54,2,4527,72.0,397.531,1,397.531,14.4,real_measurement
09:39:59,2,4671,69.0,416.924,1,416.924,8.0,real_measurement
09:40:04,2,4816,74.0,414.961,1,414.961,8.7,real_measurement
09:40:09,2,4961,70.0,416.622,1,416.622,8.1,real_measurement
09:40:14,2,5106,73.0,422.779,1,422.779,9.5,real_measurement
09:40:19,2,5251,72.0,419.408,1,419.408,7.0,real_measurement
09:40:24,2,5396,74.0,416.717,1,416.717,7.9,real_measurement
09:40:29,2,5542,73.0,422.877,1,422.877,8.9,real_measurement
09:40:34,2,5692,79.0,445.171,1,445.171,6.0,real_measurement
09:40:39,2,5851,78.0,444.022,1,444.022,3.9,real_measurement
09:40:44,2,5989,62.0,405.545,1,405.545,12.2,real_measurement
09:40:49,2,6133,71.0,421.228,1,421.228,5.7,real_measurement
09:40:54,2,6278,74.0,421.63,1,421.63,3.9,real_measurement
09:40:59,2,6429,77.0,445.214,1,445.214,6.8,real_measurement
09:41:04,2,6587,79.0,445.492,1,445.492,6.1,real_measurement
09:41:09,2,6733,75.0,421.277,1,421.277,10.8,real_measurement
09:41:14,2,6883,77.0,435.352,1,435.352,7.2,real_measurement
09:41:19,2,7035,75.0,435.877,1,435.877,6.6,real_measurement
09:41:24,2,7181,72.0,420.018,1,420.018,6.5,real_measurement
09:41:29,2,7335,80.0,447.085,1,447.085,5.3,real_measurement
09:41:34,2,7490,65.0,415.36,1,415.36,5.9,real_measurement
09:41:39,2,7627,72.0,408.102,1,408.102,11.1,real_measurement
09:41:44,2,7773,74.0,419.351,1,419.351,7.0,real_measurement
09:41:49,2,7931,79.0,444.941,1,444.941,6.3,real_measurement
09:41:54,2,8079,68.0,405.681,1,405.681,7.7,real_measurement
09:41:59,2,8221,78.0,435.649,1,435.649,6.9,real_measurement
09:42:04,2,8375,67.0,406.544,1,406.544,2.4,real_measurement
